model_alias,backend,model_path,dataset_source,sample_count,n_layers,num_heads,head_dim,target_layer,target_layer_relative_depth,target_head,best_head_at_target_layer,best_head_at_target_layer_score,best_layer,best_head,best_layer_relative_depth,best_layer_head_silhouette_cosine,output_dir
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,200,32,32,128,11,0.3548387096774194,4,22,0.22895616028371785,11,22,0.3548387096774194,0.22895616028371785,/tmp/q_space_phase_scan_subj_3models/mistral_it
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,200,32,32,128,11,0.3548387096774194,4,18,0.18711511752394347,20,31,0.6451612903225806,0.22761455732046346,/tmp/q_space_phase_scan_subj_3models/llama3_it
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,200,26,8,256,9,0.36,4,6,0.023654356427884923,12,1,0.48,0.0410341950347603,/tmp/q_space_phase_scan_subj_3models/gemma2_2b_it
