layer,head,reason,linear_probe_accuracy_loo,linear_probe_macro_accuracy_loo,null_accuracy_mean,null_accuracy_std,null_accuracy_max,p_ge_actual_accuracy,n_permutations,finite_null_count,linear_probe_alpha,confusion_json,class_accuracy_json
11,4,target_layer_head,0.86,0.86,0.5012000000000001,0.048995509998366174,0.645,0.009900990099009901,100,100,1.0,"[[85, 15], [13, 87]]","{""0"": 0.85, ""1"": 0.87}"
11,18,best_head_at_target_layer,0.86,0.8600000000000001,0.49450000000000005,0.0455878273226527,0.585,0.009900990099009901,100,100,1.0,"[[79, 21], [7, 93]]","{""0"": 0.79, ""1"": 0.93}"
20,31,best_layer_head_overall,0.935,0.935,0.4970999999999999,0.04134718853803727,0.61,0.009900990099009901,100,100,1.0,"[[93, 7], [6, 94]]","{""0"": 0.93, ""1"": 0.94}"
