label,class_name,count,within_centroid_cosine_distance_mean,within_centroid_cosine_distance_std,within_centroid_cosine_distance_median,nearest_centroid_accuracy
0,ABBR,86,0.07261574268341064,0.03631561994552612,0.06932532787322998,0.8953488372093024
1,ENTY,1000,0.11274551600217819,0.037040889263153076,0.10697078704833984,0.648
2,DESC,1000,0.09158553928136826,0.0355420745909214,0.08281365036964417,0.865
3,HUM,1000,0.08701997250318527,0.0376189723610878,0.07918471097946167,0.792
4,LOC,835,0.0905301496386528,0.03383420407772064,0.08280843496322632,0.8035928143712575
5,NUM,896,0.08450230211019516,0.03202502056956291,0.07849016785621643,0.8839285714285714
