audit_name,vectors_path,analysis_summary_path,layer,head,sample_count,feature_dim,class_count,source_best_silhouette_cosine,silhouette_cosine_sampled,silhouette_sample_size,centered_silhouette_cosine_sampled,centered_silhouette_sample_size,nearest_centroid_accuracy,nearest_centroid_balanced_accuracy,mean_within_centroid_cosine_distance,mean_between_centroid_cosine_distance,between_within_distance_ratio,centered_nearest_centroid_accuracy,centered_nearest_centroid_balanced_accuracy,centered_mean_within_centroid_cosine_distance,centered_mean_between_centroid_cosine_distance,centered_between_within_distance_ratio,global_mean_norm,mean_sample_norm,knn_k1_accuracy,knn_k5_accuracy,raw_linear_probe_cv_accuracy,raw_linear_probe_cv_balanced_accuracy,raw_linear_probe_cv_splits,best_pca_dim,best_pca_cv_accuracy,best_pca_cv_balanced_accuracy,best_pca_explained_variance_ratio_cumulative
trec_mistral_base_pre_l17_h26,~/q_space_runs/trec_coarse_n1000ish_base_vs_it_3d_pre_rope/pool_last_k_1/mistral_base/q_space_vectors.npz,~/q_space_runs/trec_coarse_n1000ish_base_vs_it_3d_pre_rope/pool_last_k_1/mistral_base/analysis_summary.json,17,26,4817,128,6,0.10189061234351986,0.09481693804264069,2000,0.07905379682779312,2000,0.7982146564251609,0.8146450371681885,0.08983320370316505,0.0704296350479126,0.7840044899194346,0.7762092588748184,0.8061214580805168,0.5387410918871561,1.1686378692587216,2.169201285840163,8.995285987854004,10.16689682006836,0.8485,0.867,0.8758566978193146,0.837934937333133,5,128,0.8758566978193146,0.837934937333133,0.9999995827674866
codexglue_llama3_base_pre_l19_h30,~/q_space_runs/codexglue_code_language_n1000_6models_pre_rope_len64_capped/pool_last_k_5/llama3_base/q_space_vectors.npz,~/q_space_runs/codexglue_code_language_n1000_6models_pre_rope_len64_capped/pool_last_k_5/llama3_base/analysis_summary.json,19,30,6000,128,6,0.20312006711511765,0.20437978208065033,2000,0.21686670184135437,2000,0.9271666666666667,0.9271666666666668,0.04668459420402845,0.03971107800801595,0.8506248942341376,0.924,0.924,0.5003642986218134,1.1939456338683765,2.3861527234348134,12.561138153076172,13.40097427368164,0.956,0.9635,0.982,0.9819999999999999,5,128,0.982,0.9819999999999999,0.9999999403953552
codexglue_mistral_it_pre_l21_h18,~/q_space_runs/codexglue_code_language_n1000_6models_pre_rope_len64_capped/pool_last_k_5/mistral_it/q_space_vectors.npz,~/q_space_runs/codexglue_code_language_n1000_6models_pre_rope_len64_capped/pool_last_k_5/mistral_it/analysis_summary.json,21,18,6000,128,6,0.09238185920355918,0.08951567858457565,2000,0.11271878331899643,2000,0.8998333333333334,0.8998333333333335,0.07585100084543228,0.03161077499389649,0.41674829127034946,0.903,0.903,0.6321123043696085,1.1908847937981288,1.8839766059986567,10.025769233703613,10.996273040771484,0.892,0.9225,0.974,0.974,5,128,0.974,0.974,0.9999998211860657
