label,class_name,count,within_centroid_cosine_distance_mean,within_centroid_cosine_distance_std,within_centroid_cosine_distance_median,nearest_centroid_accuracy
0,ABBR,86,0.0841473788022995,0.03683897852897644,0.07935574650764465,0.8953488372093024
1,ENTY,1000,0.1248985156416893,0.03835545480251312,0.11806723475456238,0.642
2,DESC,1000,0.10597782582044601,0.03727473318576813,0.09670582413673401,0.851
3,HUM,1000,0.09896375238895416,0.03819955885410309,0.09198072552680969,0.786
4,LOC,835,0.10139364749193192,0.0356597863137722,0.09368002414703369,0.8059880239520958
5,NUM,896,0.09980458766222,0.033435460180044174,0.09384846687316895,0.8805803571428571
