audit_name,capture_stage,task,vectors_path,analysis_summary_path,layer,head,sample_count,feature_dim,class_count,source_best_silhouette_cosine,silhouette_cosine_sampled,silhouette_sample_size,centered_silhouette_cosine_sampled,centered_silhouette_sample_size,nearest_centroid_accuracy,nearest_centroid_balanced_accuracy,mean_within_centroid_cosine_distance,mean_between_centroid_cosine_distance,between_within_distance_ratio,centered_nearest_centroid_accuracy,centered_nearest_centroid_balanced_accuracy,centered_mean_within_centroid_cosine_distance,centered_mean_between_centroid_cosine_distance,centered_between_within_distance_ratio,global_mean_norm,mean_sample_norm,knn_k1_accuracy,knn_k5_accuracy,raw_linear_probe_cv_accuracy,raw_linear_probe_cv_balanced_accuracy,raw_linear_probe_cv_splits,best_pca_dim,best_pca_cv_accuracy,best_pca_cv_balanced_accuracy,best_pca_explained_variance_ratio_cumulative
trec_mistral_base_l17_h26,post_rope,trec_coarse,~/q_space_runs/trec_coarse_n1000ish_base_vs_it_3d_post_rope/pool_last_k_1/mistral_base/q_space_vectors.npz,~/q_space_runs/trec_coarse_n1000ish_base_vs_it_3d_post_rope/pool_last_k_1/mistral_base/analysis_summary.json,17,26,4817,128,6,0.08946703819525922,0.0831269770860672,2000,0.0674833431839943,2000,0.7926095079925265,0.8101528697173759,0.10253095130125682,0.0724908947944641,0.7070147489489693,0.7724724932530621,0.7993310144660845,0.5610334972540537,1.168508529663086,2.0827785424225134,8.860426902770996,10.166895866394043,0.834,0.858,0.8744046311018041,0.8331068156891023,5,128,0.8744046311018041,0.8331068156891023,0.9999998807907104
codexglue_llama3_base_l19_h30,post_rope,codexglue_code_language,~/q_space_runs/codexglue_code_language_n1000_6models_post_rope_len64_capped/pool_last_k_5/llama3_base/q_space_vectors.npz,~/q_space_runs/codexglue_code_language_n1000_6models_post_rope_len64_capped/pool_last_k_5/llama3_base/analysis_summary.json,19,30,6000,128,6,0.17834076149270278,0.1790647953748703,2000,0.1913919895887375,2000,0.9181666666666667,0.9181666666666667,0.051912215848763786,0.039561192194620766,0.7620786658214047,0.9166666666666666,0.9166666666666666,0.523636981844902,1.1935726523399353,2.2793895269436577,12.454957962036133,13.358518600463867,0.955,0.966,0.9811666666666665,0.9811666666666665,5,128,0.9811666666666665,0.9811666666666665,1.000000238418579
codexglue_mistral_it_l21_h18,post_rope,codexglue_code_language,~/q_space_runs/codexglue_code_language_n1000_6models_post_rope_len64_capped/pool_last_k_5/mistral_it/q_space_vectors.npz,~/q_space_runs/codexglue_code_language_n1000_6models_post_rope_len64_capped/pool_last_k_5/mistral_it/analysis_summary.json,21,18,6000,128,6,0.08600650724105686,0.08412808179855347,2000,0.1046958789229393,2000,0.8953333333333333,0.8953333333333333,0.07664033273855846,0.030394506454467774,0.3965863060349088,0.899,0.899,0.6413955688476562,1.1906469193597635,1.8563379249673437,10.00207233428955,10.973512649536133,0.8845,0.9125,0.9706666666666667,0.9706666666666667,5,128,0.9706666666666667,0.9706666666666667,1.0000001192092896
