audit_name,task,layer,head,pre_source_best_silhouette_cosine,post_source_best_silhouette_cosine,delta_source_best_silhouette_cosine,pre_silhouette_cosine_sampled,post_silhouette_cosine_sampled,delta_silhouette_cosine_sampled,pre_centered_silhouette_cosine_sampled,post_centered_silhouette_cosine_sampled,delta_centered_silhouette_cosine_sampled,pre_nearest_centroid_accuracy,post_nearest_centroid_accuracy,delta_nearest_centroid_accuracy,pre_centered_nearest_centroid_accuracy,post_centered_nearest_centroid_accuracy,delta_centered_nearest_centroid_accuracy,pre_knn_k5_accuracy,post_knn_k5_accuracy,delta_knn_k5_accuracy,pre_raw_linear_probe_cv_accuracy,post_raw_linear_probe_cv_accuracy,delta_raw_linear_probe_cv_accuracy,pre_centered_between_within_distance_ratio,post_centered_between_within_distance_ratio,delta_centered_between_within_distance_ratio,pre_global_mean_norm,post_global_mean_norm,delta_global_mean_norm,pre_mean_sample_norm,post_mean_sample_norm,delta_mean_sample_norm,pre_pca8_cv_accuracy,post_pca8_cv_accuracy,delta_pca8_cv_accuracy,pre_pca16_cv_accuracy,post_pca16_cv_accuracy,delta_pca16_cv_accuracy,pre_pca32_cv_accuracy,post_pca32_cv_accuracy,delta_pca32_cv_accuracy,pre_pca64_cv_accuracy,post_pca64_cv_accuracy,delta_pca64_cv_accuracy,pre_pca128_cv_accuracy,post_pca128_cv_accuracy,delta_pca128_cv_accuracy
trec_mistral_base_l17_h26,trec_coarse,17,26,0.10189061234351986,0.08946703819525922,-0.012423574148260633,0.09481693804264069,0.0831269770860672,-0.011689960956573486,0.07905379682779312,0.0674833431839943,-0.011570453643798828,0.7982146564251609,0.7926095079925265,-0.005605148432634377,0.7762092588748184,0.7724724932530621,-0.0037367656217562883,0.867,0.858,-0.009000000000000008,0.8758566978193146,0.8744046311018041,-0.001452066717510525,2.169201285840163,2.0827785424225134,-0.08642274341764944,8.995285987854004,8.860426902770996,-0.1348590850830078,10.16689682006836,10.166895866394043,-9.5367431640625e-07,0.6788454992394962,0.6740732841267996,-0.004772215112696654,0.7849293140816,0.778286432009238,-0.006642882072362077,0.832672793784982,0.827279464674276,-0.005393329110706002,0.8623634647949225,0.8550947290409034,-0.0072687357540190956,0.8758566978193146,0.8744046311018041,-0.001452066717510525
codexglue_llama3_base_l19_h30,codexglue_code_language,19,30,0.20312006711511765,0.17834076149270278,-0.02477930562241487,0.20437978208065033,0.1790647953748703,-0.02531498670578003,0.21686670184135437,0.1913919895887375,-0.025474712252616882,0.9271666666666667,0.9181666666666667,-0.009000000000000008,0.924,0.9166666666666666,-0.007333333333333414,0.9635,0.966,0.0024999999999999467,0.982,0.9811666666666665,-0.0008333333333334636,2.3861527234348134,2.2793895269436577,-0.10676319649115573,12.561138153076172,12.454957962036133,-0.10618019104003906,13.40097427368164,13.358518600463867,-0.04245567321777344,0.9364999999999999,0.9273333333333333,-0.009166666666666545,0.9703333333333333,0.9706666666666667,0.00033333333333340764,0.9751666666666665,0.9738333333333333,-0.0013333333333331865,0.978,0.9763333333333334,-0.0016666666666665941,0.982,0.9811666666666665,-0.0008333333333334636
codexglue_mistral_it_l21_h18,codexglue_code_language,21,18,0.09238185920355918,0.08600650724105686,-0.006375351962502315,0.08951567858457565,0.08412808179855347,-0.005387596786022186,0.11271878331899643,0.1046958789229393,-0.008022904396057129,0.8998333333333334,0.8953333333333333,-0.0045000000000000595,0.903,0.899,-0.0040000000000000036,0.9225,0.9125,-0.010000000000000009,0.974,0.9706666666666667,-0.0033333333333332993,1.8839766059986567,1.8563379249673437,-0.02763868103131295,10.025769233703613,10.00207233428955,-0.0236968994140625,10.996273040771484,10.973512649536133,-0.022760391235351562,0.8480000000000001,0.8398333333333333,-0.008166666666666766,0.9213333333333334,0.9091666666666667,-0.01216666666666677,0.952,0.9391666666666667,-0.012833333333333252,0.9621666666666666,0.9555,-0.006666666666666599,0.974,0.9706666666666667,-0.0033333333333332993
