pca_dim,explained_variance_ratio_cumulative,cv_splits,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std
1,0.12560810148715973,5,0.3197020031626616,0.0028111797851041466,0.2566666666666667,0.0021730674684008818
2,0.20048874616622925,5,0.4174797378524063,0.00562010342964053,0.3532354384960681,0.004881505949678918
4,0.2967974543571472,5,0.48162941706199935,0.008456248668934182,0.4088608016741192,0.007405205895209424
8,0.4274154305458069,5,0.6740732841267996,0.011973467924062058,0.5693818935685425,0.009975584022720219
16,0.580528974533081,5,0.778286432009238,0.008127346503870468,0.6632065651440756,0.006548195420682983
32,0.749106228351593,5,0.827279464674276,0.010416126660343247,0.7385981819542716,0.02604330429821269
64,0.9025392532348633,5,0.8550947290409034,0.0120229205020118,0.8064294187394736,0.013109971320102757
128,0.9999998807907104,5,0.8744046311018041,0.00875684280289683,0.8331068156891023,0.00753192679648134
