model_alias,backend,model_path,dataset_source,sample_count,pool_last_k,q_capture_stage,q_capture_label,best_layer,best_head,relative_depth,silhouette_cosine,source_note
mistral_base,mlx,mlx-community/Mistral-7B-v0.3-4bit,subj,2000,1,q_projection_output_post_attention_position_rotation,"post-RoPE Q, pre-score",10,6,0.3225806451612903,0.22450759747544766,user-reported terminal summary; full /tmp artifact was not retained
mistral_it,mlx,mlx-community/Mistral-7B-Instruct-v0.3-4bit,subj,2000,1,q_projection_output_post_attention_position_rotation,"post-RoPE Q, pre-score",10,6,0.3225806451612903,0.21019049792046127,user-reported terminal summary; full /tmp artifact was not retained
llama3_base,mlx,mlx-community/Meta-Llama-3-8B-4bit,subj,2000,1,q_projection_output_post_attention_position_rotation,"post-RoPE Q, pre-score",5,1,0.16129032258064516,0.16954442104799755,user-reported terminal summary; full /tmp artifact was not retained
llama3_it,mlx,mlx-community/Meta-Llama-3-8B-Instruct-4bit,subj,2000,1,q_projection_output_post_attention_position_rotation,"post-RoPE Q, pre-score",20,31,0.6451612903225806,0.20095690158412655,user-reported terminal summary; full /tmp artifact was not retained
gemma2_2b_base,mlx,mlx-community/gemma-2-2b-4bit,subj,2000,1,q_projection_output_post_attention_position_rotation,"post-RoPE Q, pre-score",15,0,0.6,0.15284128177341452,user-reported terminal summary; full /tmp artifact was not retained
gemma2_2b_it,mlx,mlx-community/gemma-2-2b-it-4bit,subj,2000,1,q_projection_output_post_attention_position_rotation,"post-RoPE Q, pre-score",12,1,0.48,0.028551809843857814,user-reported terminal summary; full /tmp artifact was not retained
