layer,head,reason,actual_silhouette_cosine,null_mean,null_std,null_max,p_ge_actual,n_permutations,finite_null_count,seed
11,4,target_layer_head,0.08805239656915304,-0.00020978145931419036,0.0023964428397445026,0.007751660193690379,0.009900990099009901,100,100,42
11,22,best_head_at_target_layer,0.22895616028371785,-0.00019580057850613483,0.0032702156217022313,0.01718372906347389,0.009900990099009901,100,100,42
