layer,head_left,head_right,linear_cka,rsa_cosine_distance_corr
12,0,5,0.9157953262329102,0.9502571225166321
12,2,5,0.9021196365356445,0.9390010237693787
12,0,2,0.9016557335853577,0.9522718191146851
12,4,5,0.8996034860610962,0.9298937320709229
12,2,4,0.8881629109382629,0.9395220279693604
12,0,4,0.884369969367981,0.941422164440155
12,0,3,0.8808847069740295,0.9157111644744873
12,1,3,0.879382848739624,0.9056556820869446
12,0,1,0.8763963580131531,0.894693911075592
12,3,5,0.8739094734191895,0.9205964803695679
12,2,3,0.8516948223114014,0.9029419422149658
12,1,5,0.8312382698059082,0.8752158880233765
12,3,4,0.8309460878372192,0.8777024149894714
12,2,6,0.8227574229240417,0.8942492008209229
12,4,6,0.8226328492164612,0.9030224084854126
12,6,7,0.8180764317512512,0.9109557867050171
12,0,6,0.8100906610488892,0.8882478475570679
12,1,2,0.8086434602737427,0.8639015555381775
12,5,6,0.8050136566162109,0.8669094443321228
12,1,4,0.8011945486068726,0.8399995565414429
12,4,7,0.786987841129303,0.8999525308609009
12,2,7,0.7344430088996887,0.8670386672019958
12,0,7,0.7146269083023071,0.870816707611084
12,5,7,0.7033787965774536,0.8323667049407959
12,1,6,0.6820600032806396,0.7510110139846802
12,3,6,0.6792564392089844,0.7854050993919373
12,1,7,0.567186713218689,0.7127218842506409
12,3,7,0.5445787310600281,0.7262169122695923
