layer,head_left,head_right,linear_cka,rsa_cosine_distance_corr
13,4,5,0.8962876796722412,0.9031434059143066
13,9,10,0.8645606637001038,0.8933596014976501
13,5,13,0.8615679144859314,0.8764111995697021
13,0,10,0.8524671196937561,0.8680285811424255
13,4,13,0.8502314686775208,0.8632126450538635
13,10,11,0.8486034870147705,0.8564611077308655
13,20,21,0.844751238822937,0.8512008786201477
13,26,27,0.8424948453903198,0.8978816866874695
13,16,18,0.8411304950714111,0.8572522401809692
13,13,21,0.8386332988739014,0.8688128590583801
13,11,12,0.8351755738258362,0.8331262469291687
13,16,19,0.8327465057373047,0.8714559078216553
13,9,11,0.8307850956916809,0.8530212044715881
13,16,21,0.8301590085029602,0.8533016443252563
13,21,23,0.8278224468231201,0.8664665818214417
13,17,18,0.8236483931541443,0.8528923988342285
13,10,16,0.8226233124732971,0.846261739730835
13,25,29,0.8199815154075623,0.8687453866004944
13,3,10,0.8197957277297974,0.7993316650390625
13,24,25,0.8194409608840942,0.8779631853103638
13,10,12,0.8179838061332703,0.8222053050994873
13,0,3,0.8174663186073303,0.819338858127594
13,12,14,0.8172991871833801,0.8375318050384521
13,3,9,0.81559818983078,0.8130391836166382
13,7,25,0.8152475357055664,0.8943925499916077
13,20,23,0.8134610056877136,0.8300492167472839
13,0,1,0.8125197887420654,0.8478456735610962
13,12,21,0.8114700317382812,0.8399433493614197
13,1,16,0.8110069036483765,0.835486888885498
13,12,15,0.8104320168495178,0.8385608792304993
13,1,17,0.8090459108352661,0.8376233577728271
13,13,16,0.8084589242935181,0.8235490322113037
13,8,10,0.8075500130653381,0.8547764420509338
13,1,21,0.8058663606643677,0.8512823581695557
13,18,21,0.8057523369789124,0.8268250823020935
13,9,21,0.8047720193862915,0.8532703518867493
13,2,23,0.8043606281280518,0.8285987377166748
13,16,20,0.8042265176773071,0.8014675378799438
13,16,17,0.8041117787361145,0.8447343111038208
13,5,21,0.8040395379066467,0.8468180894851685
13,0,17,0.8039475679397583,0.8371782898902893
13,0,16,0.803855836391449,0.8417057991027832
13,0,11,0.8034822344779968,0.823826014995575
13,22,29,0.8034306168556213,0.8425782918930054
13,1,18,0.8031421899795532,0.8227757811546326
13,22,25,0.8026028871536255,0.8379113674163818
13,16,23,0.8024981021881104,0.8325623869895935
13,2,16,0.8020420074462891,0.8224738836288452
13,0,9,0.80202716588974,0.8471726179122925
13,10,17,0.8019117712974548,0.8255660533905029
13,8,16,0.8018578886985779,0.833699107170105
13,9,16,0.8013719916343689,0.8451784253120422
13,11,16,0.8012844920158386,0.8224950432777405
13,9,12,0.8002452254295349,0.8265710473060608
13,1,11,0.7975203394889832,0.8146299719810486
13,0,18,0.7969502806663513,0.8366222977638245
13,10,21,0.7958306074142456,0.823307991027832
13,10,18,0.7943616509437561,0.8219836354255676
13,24,29,0.7932572960853577,0.8397347927093506
13,12,16,0.7917791604995728,0.8241443634033203
13,1,10,0.7917212843894958,0.8295692801475525
13,1,13,0.7910473942756653,0.8245195150375366
13,14,23,0.789624810218811,0.8067290186882019
13,0,12,0.7894712686538696,0.8040533661842346
13,12,13,0.7879361510276794,0.7999613285064697
13,11,18,0.7867393493652344,0.8125083446502686
13,13,18,0.7864641547203064,0.8195250034332275
13,12,20,0.7856863737106323,0.8125002384185791
13,17,21,0.7847118377685547,0.8303407430648804
13,9,17,0.7841519713401794,0.8289531469345093
13,12,23,0.7837833166122437,0.8080730438232422
13,3,16,0.7834746241569519,0.7790318727493286
13,1,8,0.7833023071289062,0.8213487863540649
13,10,23,0.7812016010284424,0.8139556050300598
13,14,15,0.7810937166213989,0.8024343252182007
13,10,14,0.7809751629829407,0.7732313871383667
13,11,13,0.7806480526924133,0.7934356927871704
13,11,21,0.780637800693512,0.8101548552513123
13,2,3,0.7796195149421692,0.7965487241744995
13,1,3,0.7794004082679749,0.795562207698822
13,10,15,0.7793501019477844,0.7895141243934631
13,2,10,0.7786659002304077,0.7988802194595337
13,3,11,0.7784340977668762,0.7780628800392151
13,14,20,0.7775240540504456,0.8087173700332642
13,1,12,0.7774394154548645,0.8192947506904602
13,8,11,0.7768855094909668,0.8159176707267761
13,1,9,0.7762651443481445,0.82840895652771
13,9,18,0.7751991748809814,0.8135959506034851
13,3,12,0.7749341130256653,0.7919346690177917
13,13,20,0.7746104001998901,0.7661258578300476
13,3,30,0.7741000652313232,0.7544757127761841
13,2,21,0.7735245823860168,0.809800922870636
13,2,14,0.7733824253082275,0.7886009216308594
13,3,21,0.7728374004364014,0.7784926295280457
13,10,19,0.7717677354812622,0.7929731607437134
13,5,16,0.7716737389564514,0.7899776101112366
13,0,2,0.7712079286575317,0.7907902002334595
13,22,24,0.7711841464042664,0.8289476037025452
13,15,22,0.7707443833351135,0.7482426166534424
13,9,23,0.7705496549606323,0.8280544281005859
13,23,26,0.769942581653595,0.8258890509605408
13,7,29,0.7694606781005859,0.8377390503883362
13,0,21,0.7693108916282654,0.8151922821998596
13,7,22,0.7683941125869751,0.8252677321434021
13,8,9,0.7671083807945251,0.824504017829895
13,2,9,0.7664704918861389,0.801337480545044
13,5,6,0.7661697268486023,0.7981988191604614
13,3,17,0.7651848196983337,0.7685551643371582
13,11,15,0.7646653056144714,0.7910639047622681
13,15,16,0.7644598484039307,0.7845515608787537
13,9,20,0.7641515731811523,0.7926635146141052
13,9,14,0.7637745141983032,0.7880697846412659
13,10,20,0.7637277245521545,0.7745580077171326
13,11,17,0.7622783184051514,0.7935054302215576
13,8,21,0.7619656324386597,0.8041666150093079
13,0,30,0.7613699436187744,0.7604519128799438
13,2,20,0.7613549828529358,0.7497792840003967
13,14,21,0.7601057887077332,0.7875123620033264
13,5,18,0.7597489953041077,0.7930631041526794
13,28,29,0.7593016028404236,0.8236501812934875
13,2,18,0.7589641809463501,0.7807419896125793
13,12,30,0.7588157057762146,0.7453509569168091
13,8,13,0.7586920857429504,0.7999882698059082
13,14,16,0.7584695219993591,0.7650541067123413
13,9,15,0.7577452063560486,0.7875735759735107
13,15,23,0.7575182318687439,0.7891801595687866
13,8,17,0.757010817527771,0.7955711483955383
13,0,8,0.756491482257843,0.7977073788642883
13,2,12,0.7553983330726624,0.7887852191925049
13,6,13,0.755186140537262,0.7702662348747253
13,15,21,0.7550294995307922,0.8042723536491394
13,2,11,0.7543306350708008,0.7770253419876099
13,15,19,0.7536773681640625,0.7871795892715454
13,9,13,0.7532526254653931,0.7975345253944397
13,19,20,0.7532390356063843,0.801747739315033
13,0,19,0.7531043887138367,0.789492130279541
13,10,30,0.7527996301651001,0.7230153679847717
