layer,head,reason,linear_probe_accuracy_loo,linear_probe_macro_accuracy_loo,null_accuracy_mean,null_accuracy_std,null_accuracy_max,p_ge_actual_accuracy,n_permutations,finite_null_count,linear_probe_alpha,confusion_json,class_accuracy_json
9,4,target_layer_head,0.785,0.785,0.5131,0.045253618639839184,0.625,0.009900990099009901,100,100,1.0,"[[79, 21], [22, 78]]","{""0"": 0.79, ""1"": 0.78}"
9,6,best_head_at_target_layer,0.845,0.845,0.50295,0.038497370040043,0.6,0.009900990099009901,100,100,1.0,"[[83, 17], [14, 86]]","{""0"": 0.83, ""1"": 0.86}"
21,4,best_layer_head_overall,0.86,0.86,0.5053500000000001,0.04678276926390741,0.605,0.009900990099009901,100,100,1.0,"[[85, 15], [13, 87]]","{""0"": 0.85, ""1"": 0.87}"
