model_alias,pool_last_k,best_layer,best_head,best_layer_relative_depth,silhouette_cosine,silhouette_null_mean,silhouette_null_std,silhouette_null_z_score,silhouette_p_ge_actual,linear_probe_accuracy_loo,linear_probe_macro_accuracy_loo,linear_probe_null_accuracy_mean,linear_probe_p_ge_actual_accuracy,best_head_mean_cka_to_other_heads,best_head_mean_rsa_to_other_heads,nearest_heads_by_cka
gemma2_2b_base,1,17,3,0.68,0.081554284813,-0.013266734505063264,0.005529225411411714,17.149060177944023,0.004975124378109453,0.9076188499065808,0.8807443512062254,0.1991986713722234,0.0196078431372549,0.712856,0.746241,H4:cka=0.878:rsa=0.887;H6:cka=0.781:rsa=0.798;H2:cka=0.766:rsa=0.799;H0:cka=0.735:rsa=0.776;H7:cka=0.669:rsa=0.711
gemma2_2b_it,3,6,6,0.24,0.000267690519,-0.01334653607785272,0.006128082503230397,2.2216128112032,0.004975124378109453,0.7425783682790118,0.6949186305545055,0.19899107328212579,0.0196078431372549,0.640374,0.632419,H5:cka=0.747:rsa=0.754;H4:cka=0.739:rsa=0.683;H0:cka=0.732:rsa=0.747;H7:cka=0.682:rsa=0.679;H2:cka=0.583:rsa=0.576
llama3_base,1,17,24,0.5483870967741935,0.059523138766,-0.016169542849080374,0.007728888604515392,9.793475554882882,0.004975124378109453,0.8752335478513598,0.8072294731550188,0.20067676977371807,0.0196078431372549,0.576649,0.581320,H27:cka=0.819:rsa=0.824;H6:cka=0.749:rsa=0.759;H26:cka=0.702:rsa=0.718;H29:cka=0.699:rsa=0.724;H12:cka=0.675:rsa=0.685
llama3_it,1,18,16,0.5806451612903226,0.047495005017,-0.016440156406400754,0.007843244670445202,8.1516214410832,0.004975124378109453,0.8555117292920905,0.8276527855833183,0.20036122067676973,0.0196078431372549,0.653502,0.706512,H18:cka=0.730:rsa=0.774;H22:cka=0.716:rsa=0.787;H20:cka=0.701:rsa=0.751;H31:cka=0.696:rsa=0.751;H23:cka=0.693:rsa=0.741
mistral_base,1,17,26,0.5483870967741935,0.101890612344,-0.01616934845767267,0.005790574397502772,20.3882987587737,0.004975124378109453,0.877101930662238,0.8389772929224608,0.20178949553664105,0.0196078431372549,0.671419,0.626514,H25:cka=0.810:rsa=0.772;H7:cka=0.810:rsa=0.776;H17:cka=0.795:rsa=0.698;H24:cka=0.762:rsa=0.716;H21:cka=0.758:rsa=0.756
mistral_it,1,17,26,0.5483870967741935,0.079487341262,-0.016819398465161922,0.006636154439062922,14.51243195309668,0.004975124378109453,0.8775171268424331,0.8379073402198923,0.20031139713514637,0.0196078431372549,0.677853,0.630048,H25:cka=0.829:rsa=0.802;H17:cka=0.812:rsa=0.734;H7:cka=0.787:rsa=0.736;H24:cka=0.779:rsa=0.749;H14:cka=0.772:rsa=0.716
